File#,Incident_Date,UCR,Inc_Address
15-000255,1/5/2015 4:00,SIMPLE ASSAULT,Central Ave/Bowers st
15-000609,1/5/2015 7:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,33 HUDSON ST
15-000264,1/5/2015 7:14,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",143 ROMAINE AVE
15-000268,1/5/2015 8:37,"ARSON, SINGLE RESD. INHABITED",157 BAYVIEW AVE
15-000279,1/5/2015 9:00,LARCENY OVER 200 FROM BUILDING,105 WILKINSON AVE Floor: 1
15-000273,1/5/2015 9:03,"BURGLARY, NON-RES, ATT FORC ENT, UNKNOWN",1815 Kennedy Boulevard
15-000301,1/5/2015 12:15,LARCENY OVER 200 FROM BUILDING,2844 KENNEDY BLVD
15-000290,1/5/2015 13:59,ASSAULT WITH OTHER WEAPON,211 CLERK ST. BASEMENT
15-000293,1/5/2015 14:45,VANDALISM M.V.,BERGEN AVE & CLAREMONT AVE
15-000310,1/5/2015 15:10,"ROBBERY, STRONG ARM, STREET",VROOM ST & SUMMIT AVE
15-000368,1/5/2015 16:00,VANDALISM RESIDENCE,74 Fremont St  Apt 510
15-000311,1/5/2015 16:52,LARCENY OVER 200 OTHER,517 COMMUNIPAW AVE
15-000357,1/5/2015 16:59,SIMPLE ASSAULT,60 CRESCENT AVE
15-000341,1/5/2015 18:30,"BURGLARY, RESID. FORCIBLE ENT, DAY",16 IVY PL
15-000318,1/5/2015 18:58,"ROBBERY, FIREARM, RESIDENTIAL",226 Old Bergen
15-000320,1/5/2015 19:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,47 Lineau Pl.
15-000322,1/5/2015 20:08,LARCENY OVER 200 FROM AUTOS,100 Newkirk Street
15-000339,1/5/2015 20:30,VANDALISM M.V.,22 Eastern Parkway
15-000336,1/5/2015 20:48,VANDALISM RESIDENCE,197 WILKINSON AVE Floor: 1
15-000421,1/5/2015 23:59,LARCENY UNDER 50 OTHER,9.5 GRANT AVE
15-000347,1/6/2015 0:30,SIMPLE ASSAULT,109 WAYNE ST 4
15-000348,1/6/2015 6:21,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,18 KENSINGTON AVE
15-010421,1/6/2015 9:00,LARCENY OVER 200 FROM AUTOS,377 JERSEY AVE
15-000362,1/6/2015 10:00,SIMPLE ASSAULT,308 VAN WINKLE AVE 2 Floor: 2
15-000387,1/6/2015 12:30,ASSAULT W/KNIFE OR CUTTING INST,226 HANCOCK AVE
15-000381,1/6/2015 13:16,LARCENY OVER 200 OTHER,3656 KENNEDY BLVD
15-000376,1/6/2015 13:39,LARCENY OVER 200 AUTO PARTS AND ACCESSORIES,19 CONDICT ST
15-000378,1/6/2015 13:52,SIMPLE ASSAULT,239 OCEAN AVE
15-000386,1/6/2015 15:52,VANDALISM RESIDENCE,192 3RD ST
15-000396,1/6/2015 19:01,LARCENY 50 TO 200 PURSE SNATCHING,CLAREMOUN AVENUE & JOHN F. KENNEDY BLVD.
15-000425,1/7/2015 11:55,SIMPLE ASSAULT,222 MERCER ST
15-000429,1/7/2015 12:00,LARCENY UNDER 50 FROM BUILDING,2853 John F. Kenndedy Blvd.
15-000436,1/7/2015 12:44,ASSAULT WITH OTHER WEAPON,COLGATE (COLGATE ST) & YORK ST
15-000437,1/7/2015 13:00,LARCENY OVER 200 OTHER,423 PALISADE AVE
15-001035,1/7/2015 13:22,LARCENY 50 TO 200 OTHER,154 OGDEN AVE 1D
15-000466,1/7/2015 16:00,VANDALISM RESIDENCE,118 LAIDLAW AVE UNC: Floor: 1
15-000453,1/7/2015 17:08,LARCENY UNDER 50 OTHER,13.15 HOPKINS AVE
15-000460,1/7/2015 18:38,VANDALISM OTHER,128 Central Avenue
15-000516,1/7/2015 19:30,"ROBBERY, STRONG ARM, RESIDENCE",52 FREMONT ST 422
15-000469,1/7/2015 20:48,"ROBBERY, FIREARMS, STREET",Winfield Ave & Old Bergen Rd.
15-000483,1/7/2015 21:15,VANDALISM M.V.,bleeker (BLEECKER ST) & PIERCE AVE
15-000473,1/7/2015 21:47,SIMPLE ASSAULT,403 OCEAN AVE 2
15-000478,1/7/2015 22:50,SIMPLE ASSAULT,109 AUDUBON AVE
15-000488,1/7/2015 23:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",192 KENSINGTON AVE APT   103
15-000482,1/8/2015 0:12,LARCENY OVER 200 OTHER,51 STEVENS AVE
15-000505,1/8/2015 8:20,SIMPLE ASSAULT,CRESCENT AVE & COMMUNIPAW AVE
15-000537,1/8/2015 10:00,LARCENY OVER 200 FROM AUTOS,LAIDLAW AVE & SUMMIT AVE
15-000543,1/8/2015 18:53,VANDALISM M.V.,114 WAVERLY ST
15-005584,1/8/2015 22:00,LARCENY OVER 200 OTHER,65 SOUTH ST 2
15-000928,1/9/2015 0:26,LARCENY 50 TO 200 FROM AUTOS,689 TONNELE AVE
15-000555,1/9/2015 1:55,SIMPLE ASSAULT,OCEAN AVE & WARNER AVE
15-000556,1/9/2015 3:16,"ROBBERY, STRONG ARM, STREET",701 route 440 south
15-000577,1/9/2015 8:30,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",321 Route 440s
15-000565,1/9/2015 8:42,SIMPLE ASSAULT,GRAND ST & MERSELES ST
15-000668,1/9/2015 9:30,LARCENY 50 TO 200 AUTO PARTS AND ACCESSORIES,701 st 440 (ST HWY 440)
15-000574,1/9/2015 10:17,"ROBBERY, FIREARMS, STREET",Roosevelt Avenue east at Mallory Avenue
15-000773,1/9/2015 14:00,SIMPLE ASSAULT,201 NORTH ST
15-000605,1/9/2015 14:25,"BURGLARY, RESID. FORCIBLE ENT, DAY",89 MONTICELLO AVE
15-000604,1/9/2015 15:09,SIMPLE ASSAULT,DUNCAN AVE & MALLORY AVE
15-000611,1/9/2015 16:20,LARCENY 50 TO 200 SHOPLIFTING,395 DANFORTH AVE
15-000630,1/9/2015 19:42,LARCENY 50 TO 200 PURSE SNATCHING,499 Summit Avenue
15-001367,1/10/2015 0:00,VANDALISM RESIDENCE,97 WILKINSON AVE bsmt
15-000690,1/10/2015 1:30,SIMPLE ASSAULT,475 Tonelle Ave.
15-000662,1/10/2015 3:00,LARCENY OVER 200 PURSE SNATCHING,242 Bay Street Assoc Apts (BAY ST)
15-000639,1/10/2015 3:56,SIMPLE ASSAULT,352 TERRACE AVE
15-000640,1/10/2015 4:18,"ROBBERY, STRONG ARM, STREET",200 12TH ST
15-000645,1/10/2015 8:00,LARCENY UNDER 50 FROM AUTOS,265 OLD BERGEN ROAD Floor: 1
15-001096,1/10/2015 8:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",10 Madison Ave
15-000648,1/10/2015 11:00,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",3719 KENNEDY BLVD
15-001005,1/10/2015 11:30,"ROBBERY, STRONG ARM, STREET",WALDO AVE & MAGNOLIA AVE
15-000655,1/10/2015 11:46,LARCENY OVER 200 FROM BUILDING,69 MALLORY AVE
15-000650,1/10/2015 12:00,"ROBBERY, FIREARMS, STREET",NEPTUNE AVE & KENNEDY BLVD
15-000651,1/10/2015 12:10,VANDALISM M.V.,46 NEW ST 2
15-000784,1/10/2015 13:47,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,277 BERGEN AVE
15-000679,1/10/2015 15:30,LARCENY OVER 200 OTHER,210 EGE AVE Floor: 1
15-000670,1/10/2015 15:45,LARCENY 50 TO 200 BIKES,185 MONTICELLO (MONTICELLO AVE)
15-000666,1/10/2015 15:50,"ASSAULT/AGG/HANDS, FISTS & FEET",2 Journal Square
15-000683,1/10/2015 18:15,SIMPLE ASSAULT,116 NEWARK AVE
15-000685,1/10/2015 18:26,VANDALISM RESIDENCE,178 FULTON AVE
15-000688,1/10/2015 18:30,LARCENY OVER 200 FROM AUTOS,2ND ST & PROVOST ST
15-000720,1/10/2015 20:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",316 GRAND ST 2
15-000698,1/10/2015 23:24,VANDALISM RESIDENCE,135 BAYVIEW AVE
15-000717,1/11/2015 2:30,VANDALISM M.V.,78 SEAVIEW AVE
15-000705,1/11/2015 4:26,VANDALISM BUSINESS,30 MALL DR W
