File#,Incident_Date,UCR,Inc_Address
15-008495,4/25/2015 11:00,VANDALISM M.V.,1 2nd St
15-008481,4/25/2015 13:02,LARCENY OVER 200 BIKES,30 MALL DR W
15-008478,4/25/2015 13:16,VANDALISM M.V.,BIDWELL AVE & MARTIN LUTHER KING DR
15-008492,4/25/2015 15:05,SIMPLE ASSAULT,39 CLIFTON PLACE
15-008502,4/25/2015 18:07,LARCENY OVER 200 SHOPLIFTING,370 Martin Luther King Jr. Dr.
15-008506,4/25/2015 20:00,"BURGLARY, RESID. FORCIBLE ENT, NIGHT",170 Steuben Street  # 1
15-008514,4/25/2015 20:30,"ROBBERY, FIREARMS, STREET",264 Linden Ave
15-008520,4/25/2015 23:19,VANDALISM RESIDENCE,205 CLINTON AVE
15-008522,4/25/2015 23:25,VANDALISM M.V.,John F. Kennedy Blvd and Pamrapo Ave
15-008523,4/25/2015 23:25,"ROBBERY, FIREARMS, STREET",66 Towers St.
15-008536,4/26/2015 4:00,"ROBBERY, STRONG ARM, RESIDENCE",80 FREMONT ST 623
15-008567,4/26/2015 7:00,SIMPLE ASSAULT,33 HUDSON ST 3703
15-008551,4/26/2015 8:00,LARCENY 50 TO 200 FROM AUTOS,134 CLIFTON PL
15-008655,4/26/2015 9:00,"BURGLARY, RESID. FORCIBLE ENT, DAY",1 CONGRESS ST C5
15-008548,4/26/2015 9:41,VANDALISM M.V.,60 BARTHOLDI AVE
15-008556,4/26/2015 11:02,LARCENY 50 TO 200 AUTO PARTS AND ACCESSORIES,289 VARICK STREET
15-008560,4/26/2015 12:26,VANDALISM M.V.,110 RANDOLPH AVE
15-008563,4/26/2015 12:46,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,610 WASHINGTON BLVD
15-008566,4/26/2015 13:05,LARCENY OVER 200 FROM AUTOS,111 WEST SIDE AVE
15-008550,4/26/2015 14:30,"BURGLARY, RESID. FORCIBLE ENT, DAY",45 BOORAEM AVE 2
15-008581,4/26/2015 15:00,LARCENY OVER 200 OTHER,608 GROVE ST Floor: 2
15-008579,4/26/2015 15:30,SIMPLE ASSAULT,90 Fremont St.
15-008632,4/26/2015 16:00,LARCENY OVER 200 OTHER,66 Grant Avenue A Floor: 1
15-008588,4/26/2015 19:05,SIMPLE ASSAULT,186 UNION ST
15-008596,4/26/2015 20:55,LARCENY OVER 200 OTHER,1065 SUMMIT AVE 1B
15-008595,4/26/2015 21:00,VANDALISM M.V.,97 WINFIELD AVE
15-008598,4/26/2015 21:30,LARCENY 50 TO 200 BIKES,516 JERSEY AVE 2
15-008600,4/27/2015 2:32,"ROBBERY, FIREARMS, STREET",Bergen Ave and Grant Ave
15-008601,4/27/2015 5:36,LARCENY 50 TO 200 OTHER,99 GREENVILLE AVE
15-008603,4/27/2015 6:30,LARCENY 50 TO 200 FROM AUTOS,277 WEBSTER AVE
15-008606,4/27/2015 7:56,LARCENY 50 TO 200 FROM AUTOS,434 WHITON ST
15-008616,4/27/2015 9:45,LARCENY OVER 200 FROM BUILDING,517 JERSEY AVE
15-009045,4/27/2015 10:45,LARCENY OVER 200 FROM BUILDING,66 YORK ST Floor: 3
15-008787,4/27/2015 11:02,LARCENY OVER 200 OTHER,150 PACIFIC AVE
15-008636,4/27/2015 14:20,LARCENY OVER 200 OTHER,329 FORREST ST
15-008662,4/27/2015 17:10,LARCENY OVER 200 SHOPLIFTING,180 12TH ST
15-008716,4/27/2015 21:00,"ROBBERY, STRONG ARM, STREET",191 BERGEN AVE
15-008704,4/27/2015 22:30,ASSAULT WITH OTHER WEAPON,224 VIRGINIA AVE
15-008681,4/27/2015 23:29,VANDALISM M.V.,14 CENTER ST
15-008727,4/28/2015 6:30,LARCENY OVER 200 FROM BUILDING,100 ST PAULS AVE
15-008690,4/28/2015 6:34,VANDALISM M.V.,WEGMAN PKW (WEGMAN PKWY) & OCEAN AVE
15-008699,4/28/2015 9:12,"ARSON,OTHER RESD. UNINHABITED",137 VAN NOSTRAND AVE
15-008700,4/28/2015 9:13,"ARSON,OTHER RESD. UNINHABITED",98 OLD BERGEN RD
15-008717,4/28/2015 11:40,LARCENY UNDER 50 FROM AUTOS,303 Magnolia Ave.
15-008722,4/28/2015 12:24,SIMPLE ASSAULT,83 WILKINSON AVE BSMT
15-008729,4/28/2015 14:25,SIMPLE ASSAULT,201 CONGRESS ST Floor: 3
15-008733,4/28/2015 15:00,SIMPLE ASSAULT,264 VAN HORNE ST
15-008738,4/28/2015 16:22,LARCENY 50 TO 200 SHOPLIFTING,360 MARTIN LUTHER KING DR
15-008741,4/28/2015 17:27,SIMPLE ASSAULT,48 STEVENS AVE Floor: 2
15-008747,4/28/2015 18:30,"BURGLARY, RESID. FORCIBLE ENT, DAY",358 Montgomery St. 1L
15-008750,4/28/2015 18:45,VANDALISM M.V.,12 CHAPEL AVE
15-008753,4/28/2015 20:26,VANDALISM M.V.,15 FREEDOM PL
15-008752,4/28/2015 20:30,"ROBBERY, FIREARMS, STREET",BAYVIEW AVE & OCEAN AVE
15-008766,4/28/2015 21:00,LARCENY OVER 200 OTHER,34 VROOM ST 6
15-008755,4/28/2015 21:31,LARCENY OVER 200 FROM AUTOS,79 ARMSTRONG AVE
15-008792,4/28/2015 22:00,LARCENY OVER 200 FROM AUTOS,2048 KENNEDY BLVD
15-008759,4/28/2015 22:13,VANDALISM BUSINESS,107 Westside Ave
15-008761,4/28/2015 22:23,"ROBBERY, FIREARMS, STREET",BAYSIDE PARK
15-008758,4/28/2015 22:30,VANDALISM RESIDENCE,93 FISK ST Floor: 1
15-008764,4/28/2015 22:44,"ROBBERY, FIREARMS, STREET",237 LEXINGTON AVE 3F
15-008765,4/28/2015 23:25,VANDALISM M.V.,BERGEN AVE & BELMONT AVE
15-008770,4/29/2015 1:22,"BURGLARY, RESID. FORCIBLE ENT, DAY",20 ST PAULS (ST PAULS AVE) 4
15-008777,4/29/2015 8:51,VANDALISM M.V.,OCEAN AVE & NEW ST
15-008780,4/29/2015 9:00,SIMPLE ASSAULT,171 WILKINSON AVENUE 2
15-010431,4/29/2015 9:00,VANDALISM M.V.,193 BELVIDERE AVE
15-008789,4/29/2015 10:55,LARCENY OVER 200 FROM BUILDING,2572 KENNEDY BLVD
15-008852,4/29/2015 11:00,LARCENY 50 TO 200 BIKES,242 TENTH ST (10TH ST)
15-008816,4/29/2015 12:32,LARCENY OVER 200 FROM BUILDING,729 BERGEN AVE
15-008797,4/29/2015 13:26,VANDALISM RESIDENCE,41 VAN WAGENEN AVENUE
15-008801,4/29/2015 13:30,"BURGLARY, RESID. FORCIBLE ENT, DAY",28 COTTAGE ST Floor: 1
15-008800,4/29/2015 14:50,LARCENY 50 TO 200 OTHER,MONTGOMERY (MONTGOMERY ST) & MERSELES ST
15-008799,4/29/2015 14:56,VANDALISM M.V.,131 SHERMAN AVE
15-008819,4/29/2015 17:00,"BURGLARY, RESID. FORCIBLE ENT, DAY",352 PATERSON PLANK RD Floor: 1
15-008820,4/29/2015 17:46,LARCENY OVER 200 OTHER,100 WARREN ST 1606 Floor: 16
15-008826,4/29/2015 18:22,LARCENY 50 TO 200 BIKES,TOWN SQUARE PL & WASHINGTON BLVD
15-008829,4/29/2015 19:50,"ARSON, M.V.",346 GROVE ST
15-008832,4/29/2015 20:18,ASSAULT WITH OTHER WEAPON,176 ARMSTRONG AVE 2
15-008849,4/30/2015 7:25,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",112.5 ORIENT AVE
15-008861,4/30/2015 8:15,LARCENY OVER 200 FROM AUTOS,64 VAN REYPEN ST
15-008886,4/30/2015 15:39,"ASSAULT/AGG/HANDS, FISTS & FEET",53 OCEAN AVE
15-008915,4/30/2015 17:30,LARCENY OVER 200 FROM AUTOS,FERRY ST & CENTRAL AVE
15-008931,4/30/2015 18:00,LARCENY OVER 200 FROM BUILDING,656 PALISADE AVE Floor: 2
15-008945,5/1/2015 6:30,LARCENY 50 TO 200 FROM AUTOS,3684 KENNEDY BLVD
15-008943,5/1/2015 6:42,LARCENY OVER 200 FROM AUTOS,12 ROSE AVE
15-008949,5/1/2015 7:56,LARCENY OVER 200 FROM AUTOS,FAIRMOUNT AVE & BERGEN AVE
15-008952,5/1/2015 8:26,VANDALISM M.V.,409 CATOR AVE
15-008950,5/1/2015 8:46,VANDALISM M.V.,ROSE AVE & CLAREMONT AVE
15-008956,5/1/2015 9:23,SIMPLE ASSAULT,201 North Street
15-008965,5/1/2015 11:07,LARCENY UNDER 50 FROM BUILDING,30 MALL DR W
15-009806,5/1/2015 11:44,LARCENY OVER 200 FROM BUILDING,252 SIP AVE
15-008970,5/1/2015 12:53,SIMPLE ASSAULT,239 BERGEN AVE
15-008983,5/1/2015 13:59,LARCENY OVER 200 SHOPLIFTING,701 rt 440
15-008976,5/1/2015 14:21,SIMPLE ASSAULT,MCADOO AVE & KENNEDY BLVD
15-008988,5/1/2015 15:41,LARCENY OVER 200 FROM AUTOS,529 Tonnele Ave
15-008968,5/1/2015 17:18,WEAPONS OFFENSE FIREARM,61 GARDNER AVE
15-008995,5/1/2015 17:50,VANDALISM RESIDENCE,337 OGDEN AVE Floor: 1
15-008998,5/1/2015 18:16,SIMPLE ASSAULT,120 SOUTH ST
15-009005,5/1/2015 19:01,"ROBBERY, STRONG ARM, STREET",275 FAIRMOUNT AVE
15-009007,5/1/2015 19:15,LARCENY OVER 200 AUTO PARTS AND ACCESSORIES,3 CATOR AVE
15-009012,5/1/2015 21:09,"ROBBERY, FIREARMS, STREET",381 Van Nostrand Ave
15-009023,5/2/2015 1:10,LARCENY 50 TO 200 OTHER,217 WHITON ST Floor: 2
15-009026,5/2/2015 1:42,"ROBBERY, STRONG ARM, STREET",VAN NOSTRAND AVE & OCEAN AVE
15-009028,5/2/2015 2:15,"ROBBERY, STRONG ARM, STREET",MCADOO AVE AND CHAPEL AVE
15-009029,5/2/2015 3:20,SIMPLE ASSAULT,86 WADE ST Floor: 1
15-009032,5/2/2015 4:34,SIMPLE ASSAULT,WADE ST & KENNEDY BLVD
15-009034,5/2/2015 6:48,VANDALISM M.V.,269 VARICK ST
15-009035,5/2/2015 7:29,VANDALISM M.V.,204 10TH ST
15-009036,5/2/2015 7:53,LARCENY 50 TO 200 FROM AUTOS,181 ERIE STREET
15-009037,5/2/2015 7:53,LARCENY 50 TO 200 FROM AUTOS,238 ERIE STREET
15-009038,5/2/2015 8:00,VANDALISM M.V.,49 Mall Dr W
15-009071,5/2/2015 8:30,"ROBBERY, STRONG ARM, RESIDENCE",208 Columbia Ave
15-009039,5/2/2015 8:55,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",192 Myrtle Avenue
15-009041,5/2/2015 9:35,VANDALISM M.V.,331 LEMBECK AVE
15-009053,5/2/2015 11:30,LARCENY OVER 200 OTHER,143 WEBSTER AVE 1 Floor: 1
15-009058,5/2/2015 12:00,LARCENY OVER 200 OTHER,423 PALISADE AVE Floor: 2
15-009069,5/2/2015 14:59,LARCENY 50 TO 200 FROM AUTOS,232 PAVONIA AVE
15-009065,5/2/2015 15:27,ASSAULT WITH A FIREARM,21-27 Lexington Ave
15-009143,5/2/2015 16:00,LARCENY OVER 200 FROM BUILDING,30 MALL DR W
15-009077,5/2/2015 16:27,ASSAULT W/KNIFE OR CUTTING INST,423 PALISADE AVE Floor: 1
15-009091,5/2/2015 21:00,SIMPLE ASSAULT,Rutgers Ave. & McAdoo Ave.
15-009120,5/3/2015 0:30,SIMPLE ASSAULT,112 BERGEN AVE
15-009123,5/3/2015 0:30,"ROBBERY, STRONG ARM, STREET",112 BERGEN AVE
15-009186,5/3/2015 0:40,LARCENY 50 TO 200 AUTO PARTS AND ACCESSORIES,464 COMMUNIPAW AVE
15-009094,5/3/2015 1:10,SIMPLE ASSAULT,191 HALLADAY ST Floor: 2
15-009093,5/3/2015 1:30,LARCENY OVER 200 FROM AUTOS,816 COMMUNIPAW AVE
15-009206,5/3/2015 2:00,LARCENY 50 TO 200 OTHER,540 MLK (MARTIN LUTHER KING DR)
15-009095,5/3/2015 2:35,SIMPLE ASSAULT,50 Randolph Avenue Floor: 1
15-009097,5/3/2015 2:53,"ASSAULT/AGG/HANDS, FISTS & FEET",74 Orient Ave.
15-009141,5/3/2015 9:30,VANDALISM M.V.,MERCER ST & GRAY ST
15-009864,5/3/2015 12:00,LARCENY OVER 200 OTHER,20 RESERVOIR AVE 1
15-009126,5/3/2015 12:30,"ASSAULT/AGG/HANDS, FISTS & FEET",530 Montgomery St
15-009140,5/3/2015 13:00,LARCENY 50 TO 200 FROM BUILDING,30 MALL DR W Floor: 1
15-009225,5/3/2015 13:30,LARCENY 50 TO 200 FROM BUILDING,216 SIP AVE
15-009125,5/3/2015 13:34,"ROBBERY/OTHER WEAPON, BUSINESS",472 WEST SIDE AVE
15-009134,5/3/2015 16:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,7TH ST & DIVISION ST
15-009137,5/3/2015 16:15,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,700 GROVE ST
15-009142,5/3/2015 17:52,VANDALISM RESIDENCE,146 SEAVIEW AVE APT     4
15-009145,5/3/2015 18:41,LARCENY OVER 200 BIKES,GROVE ST & CHRISTOPHER COLUMBUS DR
15-009147,5/3/2015 19:10,VANDALISM M.V.,Acadamy (ACADEMY ST) & GRAY ST
15-009156,5/3/2015 23:19,ASSAULT WITH OTHER WEAPON,601 OCEAN AVE
15-009172,5/4/2015 5:30,VANDALISM M.V.,675 GARFIELD AVE
15-009169,5/4/2015 6:00,"BURGLARY, NON-RES FORCIBL ENT, DAY",401 ST HWY 440
15-009177,5/4/2015 8:43,"ARSON, OTHER RESD. INHABITED",340 BERGEN AVE
15-009178,5/4/2015 8:44,"ARSON, ALL OTHER",30 MALL DR E
15-009184,5/4/2015 8:48,LARCENY OVER 200 AUTO PARTS AND ACCESSORIES,235 Stockton ave
15-009191,5/4/2015 8:50,LARCENY OVER 200 FROM AUTOS,565 TONNELE AVE
15-009317,5/4/2015 9:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,18 Aubudon ave
15-009200,5/4/2015 11:53,"ARSON, ALL OTHER",CLAREMONT AVE & WEST SIDE AVE
15-009221,5/4/2015 13:30,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",283 HARRISON AVE 2C
15-009216,5/4/2015 14:40,LARCENY OVER 200 BIKES,237 BOWERS ST 4
15-009243,5/4/2015 18:00,"BURGLARY, RESID. FORCIBLE ENT, DAY",21 GARDNER AVE
15-009250,5/4/2015 19:00,"BURGLARY, RESIDENT, UNLAW ENT, DAY",936 WEST SIDE AVE Floor: 1
15-009239,5/4/2015 19:38,VANDALISM M.V.,MYRTLE AVE & GARFIELD AVE
15-009249,5/4/2015 20:15,LARCENY UNDER 50 FROM AUTOS,CHAPEL AVE & CAVEN POINT RD
15-009256,5/4/2015 20:57,"ROBBERY, FIREARMS, STREET",GRANT AVE & MARTIN LUTHER KING DR
15-009252,5/4/2015 21:20,LARCENY OVER 200 SHOPLIFTING,10 MALL DR W
15-009302,5/5/2015 2:45,VANDALISM BUSINESS,813 NEWARK AVE
15-009267,5/5/2015 4:19,"ROBBERY, STRONG ARM, STREET",KENNEDY BLVD & BOND ST
15-009303,5/5/2015 4:30,LARCENY 50 TO 200 FROM AUTOS,CORNELISON AVE & WESTERVELT PL
15-009299,5/5/2015 5:45,VANDALISM RESIDENCE,115 VAN WAGENEN AVE
15-009268,5/5/2015 6:00,LARCENY OVER 200 FROM AUTOS,43 BRUNSWICK ST
15-009278,5/5/2015 7:45,VANDALISM M.V.,312 WOODWARD ST 1
15-009291,5/5/2015 11:31,VANDALISM M.V.,3417 KENNEDY BLVD Floor: 2
15-009399,5/5/2015 17:00,"BURGLARY, RESID. FORCIBLE ENT, DAY",74 BOSTWICK AVE B Floor: 2
15-009396,5/5/2015 18:00,LARCENY 50 TO 200 PURSE SNATCHING,80 JOURNAL SQ
15-009324,5/5/2015 19:14,LARCENY OVER 200 SHOPLIFTING,50 Mall DR W 207 Floor: 1ST
15-009325,5/5/2015 19:32,LARCENY OVER 200 FROM AUTOS,328 STEVENS AVE
15-009326,5/5/2015 20:45,SIMPLE ASSAULT,124 ROOSEVELT AVE
15-009372,5/5/2015 21:00,LARCENY 50 TO 200 BIKES,226 NEWARK AVE
15-009337,5/5/2015 22:35,ASSAULT WITH OTHER WEAPON,WESTSIDE AVE & OXFORD AVE.
15-009343,5/6/2015 1:19,LARCENY OVER 200 PURSE SNATCHING,156 BIDWELL AVE
15-009360,5/6/2015 2:00,"BURGLARY, RESID. FORCIBLE ENT, DAY",386 A Johnston Ave Floor: 2
15-009348,5/6/2015 3:10,VANDALISM M.V.,09 Britton St
15-009362,5/6/2015 6:45,"BURGLARY, RESID. FORCIBLE ENT, DAY",MERCER ST & BERGEN AVE
15-009354,5/6/2015 7:00,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",1 CHAPEL AVE
15-009380,5/6/2015 10:00,"BURGLARY, RESIDENT, UNLAW ENT, DAY",288 Martin Luther King Dr. Floor: 2
15-009384,5/6/2015 10:00,VANDALISM M.V.,240 Fairmount Ave
15-009374,5/6/2015 10:30,"BURGLARY, RESIDENT, UNLAW ENT, DAY",288 Martin Luther King Dr. Floor: 3
15-009371,5/6/2015 11:27,LARCENY 50 TO 200 FROM BUILDING,759 BERGEN AVE
15-009377,5/6/2015 11:30,VANDALISM BUSINESS,326 3RD ST
15-009472,5/6/2015 12:57,LARCENY OVER 200 SHOPLIFTING,30 MALL DR W
15-009381,5/6/2015 13:00,VANDALISM RESIDENCE,292 Martin Luther King Dr. 1
15-009383,5/6/2015 13:05,LARCENY OVER 200 FROM BUILDING,60 CRESCENT AVE
15-009408,5/6/2015 14:45,LARCENY OVER 200 FROM AUTOS,71 NORTH ST
15-009387,5/6/2015 15:18,LARCENY 50 TO 200 OTHER,85 VAN REYPEN ST
15-010600,5/6/2015 15:30,SIMPLE ASSAULT,MYRTLE AVE & MARTIN LUTHER KING DR
15-009470,5/6/2015 16:30,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,129 BOORAEM AVE
15-009392,5/6/2015 16:32,"BURGLARY, RESIDENT, UNLAW ENT, DAY",354 EGE AVE Floor: 1
15-009429,5/6/2015 18:30,VANDALISM M.V.,9TH ST & MANILA AVE
15-009479,5/6/2015 19:00,"ROBBERY, STRONG ARM, STREET",Wilkenson Ave (WILKINSON AVE) & MARTIN LUTHER KING DR
15-009426,5/6/2015 22:00,SIMPLE ASSAULT,406 WOODLAWN AVE bsmt
15-009435,5/6/2015 22:00,ASSAULT WITH OTHER WEAPON,19 JEWETT AVE
15-009430,5/6/2015 23:25,SIMPLE ASSAULT,113 Bowers St. 2
15-009434,5/6/2015 23:59,ASSAULT WITH OTHER WEAPON,287 CLERK ST A
15-009480,5/7/2015 12:01,SIMPLE ASSAULT,333 PACIFIC AVE
15-009492,5/7/2015 13:00,"ROBBERY/STRONG ARM, CONV STORE",166 MARTIN LUTHER KING DRIVE
15-009485,5/7/2015 13:08,SIMPLE ASSAULT,27A Summit ave
15-009493,5/7/2015 13:45,SIMPLE ASSAULT,60 CRESCENT AVE
15-009490,5/7/2015 16:00,LARCENY 50 TO 200 FROM BUILDING,438 SUMMIT AVE Floor: 4
15-009510,5/7/2015 17:35,"ROBBERY, STRONG ARM, STREET",50 FREMONT ST
15-009518,5/7/2015 19:08,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",36 STEVENS AVE 1 Floor: 1
15-009522,5/7/2015 21:05,SIMPLE ASSAULT,Audubon Park
15-009527,5/7/2015 22:00,LARCENY UNDER 50 FROM AUTOS,15 BELMONT AVE
15-009525,5/7/2015 22:54,VANDALISM RESIDENCE,87 FULTON AVE Floor: 3RD
15-009532,5/8/2015 0:05,LARCENY 50 TO 200 FROM BUILDING,BERGEN AVE & SIP AVE
15-009534,5/8/2015 0:15,VANDALISM M.V.,27 GRANT AVE
15-009539,5/8/2015 2:30,SIMPLE ASSAULT,120 Wilkinson Ave
15-009537,5/8/2015 2:46,VANDALISM RESIDENCE,104 CORBIN AVE 2C
15-009547,5/8/2015 7:08,VANDALISM M.V.,624 BRAMHALL AVE
15-009549,5/8/2015 8:00,LARCENY OVER 200 OTHER,33 Alan Ter. 2
15-009556,5/8/2015 8:30,LARCENY OVER 200 FROM AUTOS,262 SHERMAN AVE
15-009553,5/8/2015 9:52,VANDALISM M.V.,516 MLK (MARTIN LUTHER KING DR)
15-009560,5/8/2015 11:11,SIMPLE ASSAULT,74.76 FAIRVIEW AVE
15-009574,5/8/2015 13:18,SIMPLE ASSAULT,43 BOSTWICK AVE
15-009593,5/8/2015 14:00,LARCENY OVER 200 FROM BUILDING,898 BERGEN AVE
15-009578,5/8/2015 14:01,VANDALISM BUSINESS,737 MONTGOMERY ST
15-009600,5/8/2015 15:00,LARCENY OVER 200 FROM BUILDING,OGDEN AVE & HOBSON ST
15-009588,5/8/2015 16:16,"ARSON, OTHER/CMRCIAL, INHABITED",412 WEST SIDE AVE
15-009817,5/8/2015 17:30,"BURGLARY, RESID. FORCIBLE ENT, DAY",450 Martin Luther King Drive 5C
15-009611,5/8/2015 18:15,"BURGLARY, RESID. FORCIBLE ENT, NIGHT",154 KENSINGTON AVE 301
15-009610,5/8/2015 18:58,LARCENY UNDER 50 OTHER,KENNEDY BLVD & STEVENS AVE
15-009628,5/8/2015 23:35,SIMPLE ASSAULT,MYRTLE AVE/ARLINGTON AVE
15-009630,5/8/2015 23:35,WEAPONS OFFENSE FIREARM,65 SUMMIT AVE
15-009629,5/9/2015 0:17,"ROBBERY, FIREARMS, STREET",Myrtle Ave & Arlington Ave
15-009632,5/9/2015 0:50,LARCENY 50 TO 200 FROM AUTOS,646 NEWARK AVE
15-009648,5/9/2015 6:34,VANDALISM M.V.,330 6th Street
15-009649,5/9/2015 7:16,SIMPLE ASSAULT,77 OCEAN AVE Floor: 2
15-009654,5/9/2015 9:05,WEAPONS OFFENSE FIREARM,21 PRESCOTT ST
15-009668,5/9/2015 12:44,"ROBBERY, FIREARMS, STREET",240 York St
15-009683,5/9/2015 17:47,LARCENY 50 TO 200 SHOPLIFTING,BERGEN AVE & SIP AVE
15-009688,5/9/2015 18:45,VANDALISM M.V.,75 Rutgers Ave
15-009718,5/9/2015 19:00,VANDALISM RESIDENCE,92 BOYD AVE
15-010437,5/9/2015 20:00,LARCENY OVER 200 FROM AUTOS,10 Culver Avenue
15-009703,5/10/2015 0:54,SIMPLE ASSAULT,479 Washington Blvd.
15-009706,5/10/2015 2:25,SIMPLE ASSAULT,700 STATE HWY NO 440 HWY
15-009707,5/10/2015 2:41,SIMPLE ASSAULT,145 STERLING AVE
15-009769,5/10/2015 6:00,"ROBBERY/OTHER WEAPON, STREET",Lembeck Ave. and Sullivan Dr.
15-009717,5/10/2015 8:45,VANDALISM M.V.,25 HIGH ST
15-009719,5/10/2015 9:10,VANDALISM M.V.,193 LIBERTY AVE
15-009722,5/10/2015 9:10,VANDALISM M.V.,193 LIBERTY AVE
15-009725,5/10/2015 10:10,"BURGLARY, RESIDENT, UNLAW ENT, UNKNOWN",114 Woodlawn Avenue 4
15-009726,5/10/2015 10:22,"ROBBERY, FIREARMS, STREET",114 Woodlawn Avenue
15-009736,5/10/2015 12:00,LARCENY OVER 200 FROM AUTOS,244 CUSTER AVE
15-010846,5/10/2015 12:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,29 WILLIAMS AVE
15-009728,5/10/2015 12:07,VANDALISM M.V.,50 TUERS AVE
15-009743,5/10/2015 13:46,LARCENY OVER 200 BIKES,149 ESSEX ST PARKING GARAGE
15-009744,5/10/2015 13:53,LARCENY UNDER 50 SHOPLIFTING,30 MALL DR W
15-009738,5/10/2015 15:18,VANDALISM M.V.,361 VAN HORNE ST 1
15-009798,5/10/2015 19:00,SIMPLE ASSAULT,118 OLD BERGEN RD 2r Floor: 2
15-009748,5/10/2015 19:30,VANDALISM RESIDENCE,99 DUNCAN AVE Floor: 1
15-009749,5/10/2015 20:13,VANDALISM RESIDENCE,176 MYRTLE AVE 2
15-009754,5/10/2015 23:30,VANDALISM M.V.,52 FAIRVIEW AVE Floor: 2
15-009772,5/11/2015 2:34,VANDALISM M.V.,358 MONTGOMERY ST 2F
15-009792,5/11/2015 6:00,LARCENY OVER 200 FROM BUILDING,2 2nd st
15-009788,5/11/2015 7:55,LARCENY OVER 200 FROM BUILDING,2801 J F Kennedy (KENNEDY BLVD) Floor: 1
15-009794,5/11/2015 9:00,LARCENY UNDER 50 FROM AUTOS,First St & Coles St
15-009799,5/11/2015 9:30,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,940 WEST SIDE AVE
15-009804,5/11/2015 9:41,VANDALISM M.V.,2ND ST & NEWARK AVE
15-009805,5/11/2015 9:41,VANDALISM M.V.,2ND ST & NEWARK AVE
15-009826,5/11/2015 12:00,"BURGLARY, RESID. FORCIBLE ENT, DAY",110 BALDWIN AVE
15-011250,5/11/2015 13:27,LARCENY OVER 200 SHOPLIFTING,727 Rte 440
15-009831,5/11/2015 15:10,SIMPLE ASSAULT,206 GRANT AVE
15-009841,5/11/2015 15:30,SIMPLE ASSAULT,DWIGHT ST & MARTIN LUTHER KING DR
15-009845,5/11/2015 16:59,LARCENY OVER 200 OTHER,48 South St
15-009851,5/11/2015 17:56,LARCENY OVER 200 BIKES,Town Square Pl & Washington Blvd
15-009863,5/11/2015 18:30,LARCENY UNDER 50 FROM AUTOS,444 WASHINGTON BLVD
15-009862,5/11/2015 19:52,LARCENY OVER 200 BIKES,216 6TH ST 1
15-009875,5/11/2015 23:23,SIMPLE ASSAULT,136 GRANT AVE 3A
15-009882,5/12/2015 0:28,VANDALISM RESIDENCE,266 OLD BERGEN RD Floor: 2
15-009930,5/12/2015 6:30,LARCENY OVER 200 BIKES,399 2ND ST
15-009888,5/12/2015 7:21,VANDALISM M.V.,FAIRMOUNT AVE & MONTICELLO AVE
15-009889,5/12/2015 8:00,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,GRAND ST & GROVE ST
15-009900,5/12/2015 10:02,"BURGLARY, RESID. FORCIBLE ENT, DAY",165 WEBSTER AVE 2
15-010013,5/12/2015 11:58,VANDALISM M.V.,265 GROVE ST
15-009929,5/12/2015 14:30,"BURGLARY, RESIDENT, UNLAW ENT, DAY",245 DUNCAN AVE 1
15-009920,5/12/2015 14:32,VANDALISM RESIDENCE,32 CORBIN AVE
15-009927,5/12/2015 15:04,LARCENY 50 TO 200 AUTO PARTS AND ACCESSORIES,23 WELDON ST
15-009923,5/12/2015 15:13,VANDALISM RESIDENCE,2056 JFK (KENNEDY BLVD)
15-009934,5/12/2015 15:50,LARCENY 50 TO 200 FROM AUTOS,184 BAY ST
15-009941,5/12/2015 17:59,SIMPLE ASSAULT,43 SOUTH ST Floor: 1
15-009995,5/12/2015 18:15,LARCENY OVER 200 FROM AUTOS,36 STEVENS AVE 1
15-010000,5/12/2015 18:30,SIMPLE ASSAULT,300 COMMUNIPAW AVE 20
15-010098,5/12/2015 19:00,SIMPLE ASSAULT,148 DELAWARE AVE
15-009956,5/12/2015 19:50,SIMPLE ASSAULT,617 BRAMHALL AVE 1r
15-009971,5/12/2015 21:31,"ROBBERY, STRONG ARM, STREET",8 HOWARD PL
15-009975,5/12/2015 22:15,LARCENY OVER 200 OTHER,136 GRANT AVE 1B Floor: 1
15-009981,5/12/2015 22:30,LARCENY 50 TO 200 BIKES,157 VAN REIPEN AVE
15-009977,5/12/2015 23:00,"ROBBERY, STRONG ARM, STREET",194 DUNCAN AVE
15-009998,5/12/2015 23:00,"ROBBERY, STRONG ARM, STREET",VIRGINIA AVE & MARTIN LUTHER KING DR
